"FIPS_N","ag","black","feemp","foreign","hisp","hsch","manu","povty","retail"
27009,3.430000067,0.779999971,68.87000275,2.140000105,0.899999976,34.77999878,19.04000092,6.429999828,16.14999962
27103,4.650000095,0.800000012,68.56999969,2.680000067,1.799999952,27.70999908,21.26000023,7.690000057,8.829999924
27119,7.699999809,0.330000013,55.75999832,2.230000019,4.789999962,31.71999931,9.590000153,9.609999657,12.10000038
27055,7.909999847,0.310000002,63.88999939,1.080000043,0.610000014,34.75,14.80000019,5.110000134,12.61999989
27105,8.720000267,1.070000052,58.06000137,9.029999733,11.15999985,34.29999924,21.34000015,9.539999962,13.18000031
27141,1.100000024,0.850000024,69.69000244,1.529999971,1.100000024,32.5,21.30999947,4.059999943,13.26000023
27069,14.15999985,0.150000006,51.91999817,2.039999962,1.269999981,34.47000122,15.98999977,9.409999847,11.14999962
27015,7.329999924,0.100000001,62.02999878,1.25999999,2.029999971,38.45999908,23.44000053,4.840000153,11.26000023
27011,12.94999981,0.170000002,49.43999863,0.790000021,0.340000004,40.16999817,6.079999924,11.85999966,9.609999657
27131,3.029999971,1.309999943,62.08000183,4.760000229,5.5,32.97999954,18.82999992,6.510000229,9.680000305
27013,3.299999952,1.190000057,65.55000305,2.910000086,1.769999981,28.12000084,18.36000061,14.22999954,13.71000004
27067,5.760000229,0.50999999,62.24000168,3.75,8,31.11000061,14.55000019,8.369999886,12.75
27161,5.190000057,2.25999999,63.36000061,1.340000033,2.900000095,38.52000046,27.90999985,5.610000134,11.35000038
27063,13.27000046,0.090000004,58.22999954,1.460000038,1.860000014,37.95999908,18.5,7.449999809,12.18000031
27137,1.019999981,0.850000024,54.84999847,1.940000057,0.800000012,31.84000015,7.800000191,12.21000004,13.02999973
27129,12.97999954,0.059999999,56.75,2.049999952,5.110000134,37.91999817,19.73999977,7.619999886,10.44999981
27163,0.360000014,1.830000043,69.29000092,3.410000086,1.940000057,26.03000069,17.61000061,2.369999886,11.36999989
27147,3.410000086,1.070000052,65.08999634,3.529999971,3.75999999,35.93000031,28.25,5.510000229,11.81000042
27093,7.5,0.189999998,60.20000076,0.819999993,2.150000095,38.29000092,28.03000069,5.489999771,10.43000031
27135,5.539999962,0.129999995,66.23999786,2.75,0.430000007,37.72999954,44.31999969,5.360000134,9.149999619
27149,10.96000004,0.920000017,59.43999863,1.700000048,0.899999976,34.08000183,9.989999771,16.77000046,10.57999992
27073,14.03999996,0.159999996,56.52999878,0.970000029,0.25999999,37.65000153,13.07999992,8.510000229,11.03999996
27155,20.13999939,0.02,44.47999954,0.699999988,1.210000038,39.61000061,6.590000153,11.93000031,12.05000019
27027,2.960000038,0.519999981,62.15999985,2.609999895,3.650000095,28.20000076,8.640000343,14.32999992,12.86999989
27065,4.71999979,0.170000002,60.68999863,0.910000026,0.930000007,42.16999817,20,8.069999695,13.18999958
27173,11.56000042,0.109999999,56.16999817,1.230000019,1.75999999,35.34999847,18.09000015,10.13000011,9.220000267
27089,11.60000038,0.100000001,53.13000107,1.870000005,2.930000067,36.97999954,17.26000023,7.739999771,10.73999977
27157,8.949999809,0.25,63.68000031,2.039999962,1.679999948,37.47000122,19.43000031,5.079999924,9.800000191
27107,13.76000023,0.109999999,54.04000092,1.850000024,3.049999952,34.88999939,4.639999866,8.720000267,12.65999985
27053,0.219999999,8.949999809,65.11000061,9.899999619,4.070000172,21.20000076,13.77999973,7.690000057,11.97000027
27099,4.940000057,0.560000002,55.81000137,3.609999895,4.260000229,35.25999832,21.57999992,9.260000229,12.07999992
